@relation 'R_data_frame-weka.filters.unsupervised.attribute.Remove-V-R1,5,8,12,14'

@attribute NMETS_5_UTR numeric
@attribute CDS_COORDS {'[1, 1]','[2, 2]','[3, 3]'}
@attribute MET_POSITION numeric
@attribute STOP_CODON_POSITION numeric
@attribute CLASS {BENIGN,DELETERIOUS}

@data
0,'[3, 3]',66,705,DELETERIOUS
4,'[1, 1]',363,678,DELETERIOUS
4,'[3, 3]',52,85,DELETERIOUS
0,'[3, 3]',58,151,DELETERIOUS
0,'[1, 1]',300,1398,DELETERIOUS
2,'[1, 1]',283,304,DELETERIOUS
3,'[2, 2]',175,316,DELETERIOUS
1,'[2, 2]',85,154,DELETERIOUS
2,'[1, 1]',440,509,DELETERIOUS
0,'[1, 1]',42,381,DELETERIOUS
0,'[3, 3]',263,392,DELETERIOUS
2,'[3, 3]',88,199,DELETERIOUS
8,'[3, 3]',6,1905,DELETERIOUS
2,'[3, 3]',98,203,DELETERIOUS
0,'[2, 2]',313,571,DELETERIOUS
4,'[2, 2]',324,2709,DELETERIOUS
0,'[3, 3]',108,984,DELETERIOUS
0,'[1, 1]',18,279,DELETERIOUS
0,'[2, 2]',168,933,DELETERIOUS
1,'[2, 2]',201,2667,DELETERIOUS
1,'[3, 3]',15,810,DELETERIOUS
0,'[2, 2]',22,31,DELETERIOUS
3,'[2, 2]',169,262,DELETERIOUS
0,'[2, 2]',76,97,DELETERIOUS
1,'[1, 1]',40,55,DELETERIOUS
0,'[1, 1]',28,310,DELETERIOUS
1,'[1, 1]',40,100,DELETERIOUS
2,'[2, 2]',13,112,DELETERIOUS
6,'[2, 2]',61,139,DELETERIOUS
7,'[1, 1]',34,73,DELETERIOUS
0,'[2, 2]',82,205,DELETERIOUS
1,'[2, 2]',201,2712,DELETERIOUS
0,'[1, 1]',58,208,DELETERIOUS
0,'[3, 3]',607,784,DELETERIOUS
0,'[2, 2]',270,408,DELETERIOUS
2,'[1, 1]',92,149,DELETERIOUS
1,'[3, 3]',675,3357,DELETERIOUS
0,'[2, 2]',87,1491,DELETERIOUS
2,'[3, 3]',234,885,DELETERIOUS
1,'[3, 3]',96,396,DELETERIOUS
0,'[2, 2]',622,730,DELETERIOUS
1,'[2, 2]',100,121,DELETERIOUS
4,'[3, 3]',277,358,DELETERIOUS
3,'[1, 1]',124,139,DELETERIOUS
4,'[1, 1]',84,2109,DELETERIOUS
1,'[3, 3]',24,2238,DELETERIOUS
4,'[3, 3]',76,157,DELETERIOUS
2,'[1, 1]',76,94,DELETERIOUS
0,'[3, 3]',18,684,DELETERIOUS
4,'[1, 1]',184,238,DELETERIOUS
13,'[1, 1]',167,203,DELETERIOUS
0,'[3, 3]',85,154,DELETERIOUS
0,'[3, 3]',77,104,DELETERIOUS
1,'[3, 3]',167,170,DELETERIOUS
0,'[2, 2]',40,160,DELETERIOUS
3,'[2, 2]',19,34,DELETERIOUS
1,'[1, 1]',16,19,DELETERIOUS
1,'[1, 1]',129,831,DELETERIOUS
5,'[3, 3]',44,71,DELETERIOUS
1,'[1, 1]',118,127,DELETERIOUS
0,'[1, 1]',76,307,DELETERIOUS
0,'[1, 1]',322,361,DELETERIOUS
0,'[1, 1]',48,1161,DELETERIOUS
0,'[1, 1]',80,236,DELETERIOUS
0,'[2, 2]',81,255,DELETERIOUS
1,'[1, 1]',262,268,DELETERIOUS
1,'[1, 1]',283,661,DELETERIOUS
1,'[1, 1]',157,199,DELETERIOUS
7,'[1, 1]',157,199,DELETERIOUS
5,'[1, 1]',124,148,DELETERIOUS
0,'[2, 2]',42,303,DELETERIOUS
1,'[1, 1]',697,862,DELETERIOUS
9,'[1, 1]',150,2418,DELETERIOUS
1,'[3, 3]',277,373,DELETERIOUS
9,'[3, 3]',798,1044,DELETERIOUS
1,'[1, 1]',10,61,DELETERIOUS
0,'[1, 1]',181,247,DELETERIOUS
0,'[1, 1]',40,55,DELETERIOUS
0,'[2, 2]',189,1050,DELETERIOUS
8,'[2, 2]',223,316,DELETERIOUS
0,'[3, 3]',99,276,DELETERIOUS
1,'[1, 1]',52,79,DELETERIOUS
3,'[1, 1]',26,77,DELETERIOUS
0,'[2, 2]',367,421,DELETERIOUS
5,'[2, 2]',87,1437,DELETERIOUS
3,'[2, 2]',57,1077,DELETERIOUS
1,'[2, 2]',96,1434,DELETERIOUS
9,'[1, 1]',18,279,DELETERIOUS
2,'[1, 1]',204,216,DELETERIOUS
0,'[2, 2]',9,903,DELETERIOUS
0,'[1, 1]',205,370,DELETERIOUS
0,'[3, 3]',144,7104,DELETERIOUS
4,'[1, 1]',278,290,DELETERIOUS
7,'[1, 1]',111,1260,DELETERIOUS
2,'[2, 2]',169,262,DELETERIOUS
1,'[3, 3]',136,190,DELETERIOUS
1,'[2, 2]',910,982,DELETERIOUS
3,'[2, 2]',52,226,DELETERIOUS
1,'[2, 2]',51,1548,DELETERIOUS
0,'[1, 1]',121,124,DELETERIOUS
0,'[2, 2]',128,167,DELETERIOUS
2,'[1, 1]',79,256,DELETERIOUS
1,'[3, 3]',44,59,DELETERIOUS
0,'[2, 2]',31,148,DELETERIOUS
3,'[2, 2]',240,1098,DELETERIOUS
2,'[2, 2]',169,262,DELETERIOUS
0,'[1, 1]',46,112,DELETERIOUS
0,'[2, 2]',338,341,DELETERIOUS
0,'[3, 3]',96,1332,DELETERIOUS
0,'[3, 3]',94,514,DELETERIOUS
2,'[1, 1]',283,352,DELETERIOUS
1,'[1, 1]',618,1335,DELETERIOUS
0,'[3, 3]',96,276,DELETERIOUS
0,'[3, 3]',183,945,DELETERIOUS
0,'[3, 3]',112,160,DELETERIOUS
5,'[2, 2]',187,304,DELETERIOUS
0,'[1, 1]',174,936,DELETERIOUS
0,'[1, 1]',192,714,DELETERIOUS
4,'[1, 1]',156,1050,DELETERIOUS
0,'[2, 2]',54,477,DELETERIOUS
0,'[2, 2]',171,1119,DELETERIOUS
4,'[1, 1]',145,178,DELETERIOUS
2,'[3, 3]',48,705,DELETERIOUS
4,'[3, 3]',109,277,DELETERIOUS
0,'[2, 2]',205,361,DELETERIOUS
0,'[1, 1]',192,2691,DELETERIOUS
1,'[1, 1]',40,55,DELETERIOUS
3,'[1, 1]',280,292,DELETERIOUS
0,'[1, 1]',595,604,DELETERIOUS
0,'[3, 3]',86,197,DELETERIOUS
0,'[1, 1]',193,208,DELETERIOUS
0,'[1, 1]',115,163,DELETERIOUS
1,'[3, 3]',81,1725,DELETERIOUS
1,'[2, 2]',24,1428,DELETERIOUS
0,'[3, 3]',949,1387,DELETERIOUS
0,'[1, 1]',33,2748,DELETERIOUS
4,'[3, 3]',395,404,DELETERIOUS
3,'[3, 3]',220,253,DELETERIOUS
0,'[2, 2]',153,708,DELETERIOUS
2,'[2, 2]',25,37,DELETERIOUS
4,'[3, 3]',15,693,DELETERIOUS
1,'[2, 2]',43,151,DELETERIOUS
7,'[1, 1]',120,1395,DELETERIOUS
0,'[2, 2]',41,83,DELETERIOUS
1,'[1, 1]',88,103,DELETERIOUS
0,'[3, 3]',126,603,DELETERIOUS
0,'[2, 2]',153,294,DELETERIOUS
0,'[2, 2]',81,255,DELETERIOUS
1,'[1, 1]',682,712,DELETERIOUS
3,'[3, 3]',111,771,DELETERIOUS
0,'[2, 2]',529,613,DELETERIOUS
0,'[2, 2]',100,241,DELETERIOUS
16,'[1, 1]',93,1266,DELETERIOUS
1,'[3, 3]',127,190,DELETERIOUS
0,'[1, 1]',46,133,DELETERIOUS
0,'[3, 3]',96,1131,DELETERIOUS
0,'[3, 3]',167,191,DELETERIOUS
47,'[3, 3]',66,159,DELETERIOUS
0,'[3, 3]',99,954,DELETERIOUS
0,'[1, 1]',46,91,DELETERIOUS
3,'[1, 1]',92,149,DELETERIOUS
3,'[1, 1]',21,1035,DELETERIOUS
0,'[1, 1]',610,718,DELETERIOUS
0,'[3, 3]',15,3357,DELETERIOUS
0,'[1, 1]',618,1041,DELETERIOUS
6,'[2, 2]',223,367,DELETERIOUS
0,'[1, 1]',59,77,DELETERIOUS
0,'[3, 3]',970,979,DELETERIOUS
1,'[1, 1]',16,37,DELETERIOUS
0,'[1, 1]',198,1803,DELETERIOUS
0,'[3, 3]',310,334,DELETERIOUS
0,'[2, 2]',313,571,DELETERIOUS
0,'[2, 2]',6,1497,DELETERIOUS
6,'[1, 1]',358,496,DELETERIOUS
6,'[1, 1]',34,58,DELETERIOUS
0,'[1, 1]',84,1449,DELETERIOUS
3,'[3, 3]',41,83,DELETERIOUS
