@relation 'R_data_frame-weka.filters.unsupervised.attribute.Remove-V-R1-2,8-9,14'

@attribute NMETS_5_UTR numeric
@attribute CONSERVED_METS_IN_5_UTR numeric
@attribute MET_POSITION numeric
@attribute READING_FRAME_STATUS {Lost,Maintained}
@attribute CLASS {BENIGN,DELETERIOUS}

@data
5,1,57,Maintained,DELETERIOUS
1,1,172,Lost,DELETERIOUS
0,0,364,Lost,DELETERIOUS
0,0,100,Lost,DELETERIOUS
4,0,89,Lost,DELETERIOUS
1,1,262,Lost,DELETERIOUS
0,0,87,Maintained,DELETERIOUS
0,0,86,Lost,DELETERIOUS
2,0,62,Lost,DELETERIOUS
1,1,123,Maintained,DELETERIOUS
0,0,142,Lost,DELETERIOUS
0,0,106,Lost,DELETERIOUS
1,0,153,Maintained,DELETERIOUS
3,2,46,Lost,DELETERIOUS
0,0,193,Lost,DELETERIOUS
0,0,103,Lost,DELETERIOUS
5,0,115,Lost,DELETERIOUS
1,0,153,Maintained,DELETERIOUS
0,0,118,Lost,DELETERIOUS
1,0,197,Maintained,DELETERIOUS
0,0,183,Maintained,DELETERIOUS
1,1,33,Maintained,DELETERIOUS
1,0,93,Maintained,DELETERIOUS
0,0,355,Lost,DELETERIOUS
0,0,330,Maintained,DELETERIOUS
0,0,250,Lost,DELETERIOUS
0,0,970,Lost,DELETERIOUS
0,0,553,Lost,DELETERIOUS
10,1,30,Maintained,DELETERIOUS
6,5,54,Maintained,DELETERIOUS
0,0,117,Maintained,DELETERIOUS
9,6,447,Maintained,DELETERIOUS
2,0,26,Lost,DELETERIOUS
0,0,33,Maintained,DELETERIOUS
0,0,24,Maintained,DELETERIOUS
1,0,198,Maintained,DELETERIOUS
1,1,13,Lost,DELETERIOUS
3,0,6,Maintained,DELETERIOUS
2,2,45,Maintained,DELETERIOUS
0,0,370,Lost,DELETERIOUS
3,2,178,Lost,DELETERIOUS
2,0,21,Maintained,DELETERIOUS
4,1,61,Lost,DELETERIOUS
0,0,70,Lost,DELETERIOUS
0,0,370,Lost,DELETERIOUS
2,0,15,Maintained,DELETERIOUS
0,0,442,Lost,DELETERIOUS
0,0,279,Maintained,DELETERIOUS
1,0,493,Lost,DELETERIOUS
0,0,103,Lost,DELETERIOUS
1,0,24,Maintained,DELETERIOUS
0,0,216,Maintained,DELETERIOUS
0,0,32,Lost,DELETERIOUS
0,0,91,Lost,DELETERIOUS
0,0,151,Lost,DELETERIOUS
3,0,3,Maintained,DELETERIOUS
7,3,140,Lost,DELETERIOUS
1,0,15,Maintained,DELETERIOUS
18,7,234,Maintained,DELETERIOUS
9,1,150,Maintained,DELETERIOUS
26,18,84,Maintained,DELETERIOUS
0,0,75,Maintained,DELETERIOUS
0,0,97,Lost,DELETERIOUS
1,1,214,Lost,DELETERIOUS
0,0,59,Lost,DELETERIOUS
0,0,334,Lost,DELETERIOUS
1,0,36,Maintained,DELETERIOUS
0,0,6,Maintained,DELETERIOUS
0,0,54,Maintained,DELETERIOUS
0,0,279,Maintained,DELETERIOUS
0,0,15,Maintained,DELETERIOUS
0,0,22,Lost,DELETERIOUS
2,1,191,Lost,DELETERIOUS
1,0,40,Lost,DELETERIOUS
0,0,180,Maintained,DELETERIOUS
0,0,42,Maintained,DELETERIOUS
1,0,33,Maintained,DELETERIOUS
6,2,538,Lost,DELETERIOUS
0,0,11,Lost,DELETERIOUS
3,0,442,Lost,DELETERIOUS
0,0,385,Lost,DELETERIOUS
4,0,91,Lost,DELETERIOUS
1,0,88,Lost,DELETERIOUS
0,0,172,Lost,DELETERIOUS
0,0,93,Maintained,DELETERIOUS
1,1,44,Lost,DELETERIOUS
3,1,325,Lost,DELETERIOUS
0,0,364,Lost,DELETERIOUS
0,0,214,Lost,DELETERIOUS
4,2,169,Lost,DELETERIOUS
1,0,327,Maintained,DELETERIOUS
5,4,45,Maintained,DELETERIOUS
0,0,117,Maintained,DELETERIOUS
2,0,481,Lost,DELETERIOUS
0,0,245,Lost,DELETERIOUS
1,0,697,Lost,DELETERIOUS
0,0,68,Lost,DELETERIOUS
0,0,42,Maintained,DELETERIOUS
4,3,106,Lost,DELETERIOUS
1,1,330,Maintained,DELETERIOUS
2,0,169,Lost,DELETERIOUS
2,1,70,Lost,DELETERIOUS
3,1,69,Maintained,DELETERIOUS
2,0,67,Lost,DELETERIOUS
1,0,189,Maintained,DELETERIOUS
6,6,64,Lost,DELETERIOUS
1,0,16,Lost,DELETERIOUS
0,0,129,Maintained,DELETERIOUS
0,0,108,Maintained,DELETERIOUS
3,1,179,Lost,DELETERIOUS
0,0,88,Lost,DELETERIOUS
0,0,227,Lost,DELETERIOUS
3,0,92,Lost,DELETERIOUS
4,1,274,Lost,DELETERIOUS
12,5,96,Maintained,DELETERIOUS
4,1,19,Lost,DELETERIOUS
10,3,61,Lost,DELETERIOUS
0,0,132,Maintained,DELETERIOUS
4,1,325,Lost,DELETERIOUS
0,0,31,Lost,DELETERIOUS
9,2,670,Lost,DELETERIOUS
0,0,76,Lost,DELETERIOUS
0,0,306,Maintained,DELETERIOUS
1,1,682,Lost,DELETERIOUS
0,0,128,Lost,DELETERIOUS
0,0,81,Maintained,DELETERIOUS
0,0,37,Lost,DELETERIOUS
2,0,157,Lost,DELETERIOUS
0,0,143,Lost,DELETERIOUS
0,0,129,Maintained,DELETERIOUS
1,0,154,Lost,DELETERIOUS
0,0,76,Lost,DELETERIOUS
3,1,159,Maintained,DELETERIOUS
5,1,181,Lost,DELETERIOUS
0,0,190,Lost,DELETERIOUS
5,2,73,Lost,DELETERIOUS
0,0,142,Lost,DELETERIOUS
10,3,69,Maintained,DELETERIOUS
2,0,169,Lost,DELETERIOUS
0,0,316,Lost,DELETERIOUS
0,0,175,Lost,DELETERIOUS
0,0,186,Maintained,DELETERIOUS
2,0,154,Lost,DELETERIOUS
